"","zipcode","Date","PROPERTY.TYPE","ADDRESS","CITY","ZIP","ZIP.OR.POSTAL.CODE","PRICE","BEDS","BATHS","SQUARE.FEET","LOT.SIZE","YEAR.BUILT","DAYS.ON.MARKET","LATITUDE","LONGITUDE","Age","Num_Landfill","hospital_bed","School_Rank"
"5962",90059,"7/22/2019","Single Family Residential","11120 Belhaven St","Los Angeles","CA",90059,374100,3,1,861,5600,1950,297,33.9344448,-118.255289,70,1,0,9
"5963",90059,"8/1/2019","Single Family Residential","11111 Compton Ave","Los Angeles","CA",90059,352500,3,2,1157,3166,1990,287,33.934417,-118.246581,30,1,0,9
"5964",90059,"7/24/2017","Single Family Residential","11140 Evers Ave","Los Angeles","CA",90059,376500,3,1,1080,6377,1946,1025,33.9336307,-118.2471025,74,1,0,9
"5965",90059,"6/23/2017","Single Family Residential","1646 E 113th","Los Angeles","CA",90059,436100,3,3,1747,8072,1933,1056,33.931838,-118.2445077,87,1,0,9
"5966",90059,"6/30/2018","Single Family Residential","11311 Monitor Ave","Los Angeles","CA",90059,447900,3,2,852,5538,1911,684,33.9316585,-118.2403961,109,1,0,9
"5967",90059,"7/10/2019","Single Family Residential","1559 E 111th St","Los Angeles","CA",90059,411200,3,2,1096,3993,1933,309,33.9350487,-118.2470661,87,1,0,9
"5968",90059,"12/15/2019","Single Family Residential","11030 Compton Ave","Los Angeles","CA",90059,413100,3,3,1672,4194,1994,151,33.9349336,-118.2459582,26,1,0,9
"5969",90059,"2/12/2020","Single Family Residential","10920 Compton Ave","Los Angeles","CA",90059,415000,3,2,1026,2668,2017,92,33.9361589,-118.2460268,3,1,0,9
"5970",90059,"1/23/2020","Single Family Residential","10964 Willowbrook Ave","Los Angeles","CA",90059,441100,3,3,1536,2696,1992,112,33.9357649,-118.241127,28,1,0,9
"5971",90059,"2/11/2019","Single Family Residential","11305 Hooper Ave","Los Angeles","CA",90059,397000,3,2,1109,4975,1940,458,33.9317949,-118.252411,80,1,0,9
"5972",90059,"2/11/2019","Single Family Residential","11124 Evers Ave","Los Angeles","CA",90059,373200,3,2,844,3192,1947,458,33.934074,-118.2470775,73,1,0,9
"5973",90059,"6/13/2018","Single Family Residential","2519 E 110th St","Los Angeles","CA",90059,314600,3,1,960,3123,1923,701,33.9355343,-118.2272653,97,1,0,9
"5974",90059,"6/26/2017","Single Family Residential","735 E 119th St","Los Angeles","CA",90059,388700,3,1,941,5536,1947,1053,33.9248524,-118.2609421,73,1,0,9
"5975",90059,"10/1/2018","Single Family Residential","817 E 119th St","Los Angeles","CA",90059,456600,3,2,1378,5502,1945,591,33.9248011,-118.2602226,75,1,0,9
"5976",90059,"12/8/2017","Single Family Residential","1387 E 110th St","Los Angeles","CA",90059,507300,3,2,1632,9342,1951,888,33.936096,-118.250327,69,1,0,9
"5977",90059,"1/22/2019","Single Family Residential","1363 E 111th St","Los Angeles","CA",90059,361500,3,1,1038,5669,1945,478,33.934958,-118.2508121,75,1,0,9
"5978",90059,"5/23/2018","Single Family Residential","10880 Weigand Ave","Los Angeles","CA",90059,354300,3,1,817,2716,1957,722,33.9348158,-118.2305619,63,1,0,9
"5979",90059,"10/19/2018","Single Family Residential","1272 E 108th St","Los Angeles","CA",90059,424000,3,1,998,5488,1955,573,33.9376343,-118.2524567,65,1,0,9
"5980",90059,"7/19/2018","Single Family Residential","1257 E 109th St","Los Angeles","CA",90059,343800,3,1,940,3660,1955,665,33.9370165,-118.2526851,65,1,0,9
"5981",90059,"11/22/2017","Single Family Residential","13333 Stanford Ave","Los Angeles","CA",90059,431800,3,1,1162,6876,1947,904,33.9106125,-118.2628505,73,1,0,9
"5982",90059,"11/7/2018","Single Family Residential","12917 Stanford Ave","Los Angeles","CA",90059,458100,3,1,1158,6946,1947,554,33.9148743,-118.2628136,73,1,0,9
"5983",90059,"1/16/2020","Single Family Residential","718 E 121st Pl","Los Angeles","CA",90059,541400,3,2,1364,5609,1945,119,33.9219194,-118.262461,75,1,0,9
"5984",90059,"1/6/2020","Single Family Residential","1463 E 108th St","Los Angeles","CA",90059,426100,3,2,1178,3847,1978,129,33.9381432,-118.2488021,42,1,0,9
"5985",90059,"9/17/2018","Single Family Residential","706 E 137th St","Los Angeles","CA",90059,462200,3,1,984,8748,1944,605,33.9071138,-118.2626187,76,1,0,9
"5986",90059,"5/22/2019","Single Family Residential","729 E 138th St","Los Angeles","CA",90059,472100,3,2,1093,5301,1944,358,33.9066423,-118.2616247,76,1,0,9
