"ZIP","Date","PROPERTY.TYPE","ADDRESS","CITY","STATE","PRICE","BEDS","BATHS","SQUARE.FEET","LOT.SIZE","LATITUDE","LONGITUDE","Age","ORIGINAL_PRC","numCrimes","LONG_LAT","SQ_LOT","knn14Pred","Error","Pct_Error","AbsPct_Err","UpperCI","LowerCI"
90002,"2020-03-26","Single Family Residential","9216 Hickory St","Los Angeles","CA",417000,4,1,1458,5426,33.9526894,-118.2348522,60,417000,0,-4014.39121300151,7911108,432885.714285714,15885.7142857143,0.038095238095238,0.038095238095238,530877.088184546,381470.308316522
90002,"2020-05-05","Single Family Residential","2350 E 107th St","Los Angeles","CA",380000,3,1,1252,3926,33.93868,-118.2295681,65,380000,0,-4012.55547828411,4915352,378300,-1700,-0.0044736842105263,0.0044736842105263,463934.927470628,333367.93724935
90003,"2020-03-20","Single Family Residential","201 E 60th St","Los Angeles","CA",375000,2,1,676,2280,33.985287,-118.271631,98,375000,0,-4019.4953234931,1541280,355007.142857143,-19992.8571428572,-0.0533142857142858,0.0533142857142858,449527.374814164,317043.91278833
90003,"2020-02-21","Single Family Residential","137 W 84th Pl","Los Angeles","CA",405000,2,1,936,5294,33.9625591,-118.2752395,98,405000,0,-4016.9298115854,4955184,362157.142857143,-42842.8571428572,-0.105784832451499,0.105784832451499,458581.053858629,323429.316637369
90003,"2020-03-31","Single Family Residential","338 E 97th St","Los Angeles","CA",412000,2,1,998,5100,33.9481196,-118.2681398,80,412000,0,-4014.98095479992,5089800,385614.285714286,-26385.7142857143,-0.0640429958391123,0.0640429958391123,488283.633261252,344378.034160093
90003,"2020-02-04","Single Family Residential","231 E 99th St","Los Angeles","CA",412000,2,1,1037,5084,33.9466902,-118.2706375,78,412000,0,-4014.896690969,5272108,386835.714285714,-25164.2857142857,-0.0610783633841887,0.0610783633841887,489830.265745371,345468.847405033
90003,"2020-02-04","Single Family Residential","10111 S Grand Ave","Los Angeles","CA",450000,2,2,902,4243,33.9443143,-118.2807211,79,450000,0,-4014.95797264904,3827186,449750,-250,-0.000555555555555531,0.000555555555555531,569495.405629139,401655.298056723
90003,"2020-04-15","Single Family Residential","436 W 98th St","Los Angeles","CA",335000,2,1,804,3275,33.9470607,-118.2816912,92,335000,0,-4015.31575086506,2633100,361407.142857143,26407.1428571428,0.0788272921108741,0.0788272921108741,457631.367245574,322759.519030827
90003,"2020-02-25","Single Family Residential","5883 Wall St","Los Angeles","CA",360000,2,1,988,5144,33.9874457,-118.2720078,110,360000,0,-4019.76344293248,5082272,378178.571428571,18178.5714285714,0.0504960317460317,0.0504960317460317,478868.168840384,337737.469318084
90003,"2020-02-07","Single Family Residential","129 W 74th St","Los Angeles","CA",405000,2,1,812,5973,33.9731175,-118.2750225,96,405000,0,-4018.17123670764,4850076,342200,-62800,-0.155061728395062,0.155061728395062,433310.345316935,305606.321278511
